<<<<<<< HEAD
key,airport-name,iata-code,operational-scope,city,country,website,email,contact-phone-number
#name
airport-01,"L","HBA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-02,"Lo","CGR","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-03,"Lorem ipsum dolor sit amet, consectetur adipiscin","AAC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscing","AAD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-05,"โลเร็ม อิปซัม","AAE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","6841355208"
airport-06,"لوريم إيبسوم","AAF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","6841355208"
airport-07,"洛伦·伊普森","AAG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","6841355208"
airport-08,"<marquee>Hacked</marquee>","AAH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-09,"<script>alert(‘Hacked!’);</script>","AAI","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-10,"' or 'A' = 'A ","AAJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","5462854987"
#iataCode
airport-11,"Quis nostrud exercitation ullamco","AAA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-12,"Quis nostrud exercitation ullamco","AAB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-13,"Quis nostrud exercitation ullamco","ZZY","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-14,"Quis nostrud exercitation ullamco","ZZZ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
#operationalScope
airport-15,"Quis nostrud exercitation ullamco","AAK","DOMESTIC","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-16,"Quis nostrud exercitation ullamco","AAL","REGIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
#city
airport-17,"Quis nostrud exercitation ullamco","BBA","INTERNATIONAL","L","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","5462854987"
airport-18,"Quis nostrud exercitation ullamco","BBB","INTERNATIONAL","Lo","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","5462854987"
airport-19,"Quis nostrud exercitation ullamco","BBC","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-20,"Quis nostrud exercitation ullamco","BBD","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-21,"Quis nostrud exercitation ullamco","BBE","INTERNATIONAL","โลเร็ม อิปซัม","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-22,"Quis nostrud exercitation ullamco","BBF","INTERNATIONAL","لوريم إيبسوم","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-23,"Quis nostrud exercitation ullamco","BBG","INTERNATIONAL","洛伦·伊普森","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-24,"Quis nostrud exercitation ullamco","BBH","INTERNATIONAL","<marquee>Hacked</marquee>","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-25,"Quis nostrud exercitation ullamco","BBI","INTERNATIONAL","<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-26,"Quis nostrud exercitation ullamco","BBJ","INTERNATIONAL","' or 'A' = 'A ","Lorem ipsum dolor sit ame","http://lorem.com","acme@lorem-ipsum.org","6841355208"
#coutry
airport-27,"Quis nostrud exercitation ullamco","CCA","INTERNATIONAL","Lorem ipsum dolor sit ame","L","http://lorem.com","lorem@acme.com","6841355208"
airport-28,"Quis nostrud exercitation ullamco","CCB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lo","http://lorem.com","lorem@acme.com","6841355208"
airport-29,"Quis nostrud exercitation ullamco","CCC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscin","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-30,"Quis nostrud exercitation ullamco","CCD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-31,"Quis nostrud exercitation ullamco","CCE","INTERNATIONAL","Lorem ipsum dolor sit ame","โลเร็ม อิปซัม","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-32,"Quis nostrud exercitation ullamco","CCF","INTERNATIONAL","Lorem ipsum dolor sit ame","لوريم إيبسوم","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-33,"Quis nostrud exercitation ullamco","CCG","INTERNATIONAL","Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-34,"Quis nostrud exercitation ullamco","CCH","INTERNATIONAL","Lorem ipsum dolor sit ame","洛伦·伊普森","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-35,"Quis nostrud exercitation ullamco","CCI","INTERNATIONAL","Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>","http://lorem.com","acme@lorem-ipsum.org","6841355208"
airport-36,"Quis nostrud exercitation ullamco","CCJ","INTERNATIONAL","Lorem ipsum dolor sit ame","' or 'A' = 'A ","http://lorem.com","acme@lorem-ipsum.org","6841355208"
#webSite
airport-37,"Quis nostrud exercitation ullamco","DDA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","ftp://a","acme@lorem-ipsum.org","6841355208"
airport-38,"Quis nostrud exercitation ullamco","DDB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","ftp://a.b","acme@lorem-ipsum.org","6841355208"
airport-39,"Quis nostrud exercitation ullamco","DDC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","acme@lorem-ipsum.org","6841355208"
airport-40,"Quis nostrud exercitation ullamco","DDD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","acme@lorem-ipsum.org","6841355208"
airport-41,"Quis nostrud exercitation ullamco","DDE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","https://www.lorem.com","acme@lorem-ipsum.org","6841355208"
airport-42,"Quis nostrud exercitation ullamco","DDF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","ftp://www.lorem.com","acme@lorem-ipsum.org","6841355208"
airport-43,"Quis nostrud exercitation ullamco","DDG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit.html","acme@lorem-ipsum.org","6841355208"
airport-44,"Quis nostrud exercitation ullamco","DDH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit.html#dolor","acme@lorem-ipsum.org","6841355208"
